Date,Race/Ethnicity,All Cases,Ever Hospitaltized,Deaths
6/1/2020,Non-Hispanic White,26162,3813,2904
6/1/2020,Non-Hispanic Black/African American,8853,987,348
6/1/2020,Hispanic,18331,1290,445
6/1/2020,Non-Hispanic Asian,1875,291,128
6/1/2020,Non-Hispanic Other,4549,571,227
6/1/2020,Unknown/Missing,41035,3000,2983
6/2/2020,Non-Hispanic White,26390,3859,2947
6/2/2020,Non-Hispanic Black/African American,8904,993,349
6/2/2020,Hispanic,18470,1301,451
6/2/2020,Non-Hispanic Asian,1892,296,129
6/2/2020,Non-Hispanic Other,4574,581,228
6/2/2020,Unknown/Missing,40933,3033,2981
6/3/2020,Non-Hispanic White,26941,3897,2992
6/3/2020,Non-Hispanic Black/African American,9209,1013,354
6/3/2020,Hispanic,18691,1313,463
6/3/2020,Non-Hispanic Asian,1931,300,130
6/3/2020,Non-Hispanic Other,4644,595,230
6/3/2020,Unknown/Missing,40176,3033,2983
6/4/2020,Non-Hispanic White,27098,3954,3028
6/4/2020,Non-Hispanic Black/African American,9257,1023,356
6/4/2020,Hispanic,18811,1325,464
6/4/2020,Non-Hispanic Asian,1951,301,130
6/4/2020,Non-Hispanic Other,4708,604,232
6/4/2020,Unknown/Missing,40238,3031,2991
6/5/2020,Non-Hispanic White,27320,3986,3046
6/5/2020,Non-Hispanic Black/African American,9288,1033,358
6/5/2020,Hispanic,19010,1335,465
6/5/2020,Non-Hispanic Asian,1970,304,131
6/5/2020,Non-Hispanic Other,4746,611,237
6/5/2020,Unknown/Missing,40223,3034,2998
6/6/2020,Non-Hispanic White,27515,4014,3074
6/6/2020,Non-Hispanic Black/African American,9330,1039,361
6/6/2020,Hispanic,19145,1359,484
6/6/2020,Non-Hispanic Asian,1987,303,131
6/6/2020,Non-Hispanic Other,4795,614,238
6/6/2020,Unknown/Missing,40360,3040,3001
