Date,Age,Cases,Hospitalized,Deaths
6/1/2020,0-19,4908,81,0
6/1/2020,20-29,13560,238,10
6/1/2020,30-39,15092,455,23
6/1/2020,40-49,14428,711,68
6/1/2020,50-59,16173,1330,251
6/1/2020,60-69,13132,1908,720
6/1/2020,70-79,8932,2147,1565
6/1/2020,80+,14238,3081,4398
6/1/2020,Unknown,342,1,0
6/2/2020,0-19,4935,82,0
6/2/2020,20-29,13608,241,11
6/2/2020,30-39,15133,459,23
6/2/2020,40-49,14479,717,68
6/2/2020,50-59,16229,1343,253
6/2/2020,60-69,13174,1933,728
6/2/2020,70-79,8969,2173,1574
6/2/2020,80+,14292,3114,4428
6/2/2020,Unknown,344,1,0
6/3/2020,0-19,4993,83,0
6/3/2020,20-29,13674,241,11
6/3/2020,30-39,15200,466,24
6/3/2020,40-49,14573,725,69
6/3/2020,50-59,16302,1353,257
6/3/2020,60-69,13232,1945,727
6/3/2020,70-79,8982,2201,1592
6/3/2020,80+,14325,3136,4472
6/3/2020,Unknown,311,1,0
6/4/2020,0-19,5067,84,0
6/4/2020,20-29,13769,248,11
6/4/2020,30-39,15277,468,24
6/4/2020,40-49,14629,727,69
6/4/2020,50-59,16380,1361,257
6/4/2020,60-69,13274,1957,736
6/4/2020,70-79,8991,2223,1606
6/4/2020,80+,14363,3169,4498
6/4/2020,Unknown,313,1,
6/5/2020,0-19,5123,85,0
6/5/2020,20-29,13840,249,11
6/5/2020,30-39,15368,471,24
6/5/2020,40-49,14691,730,69
6/5/2020,50-59,16446,1372,260
6/5/2020,60-69,13343,1972,741
6/5/2020,70-79,9029,2236,1616
6/5/2020,80+,14411,3187,4514
6/5/2020,Unknown,306,1,
6/6/2020,0-19,5182,85,0
6/6/2020,20-29,13913,250,10
6/6/2020,30-39,15461,476,24
6/6/2020,40-49,14765,735,71
6/6/2020,50-59,16541,1383,263
6/6/2020,60-69,13420,1992,749
6/6/2020,70-79,9072,2244,1621
6/6/2020,80+,14491,3203,4551
6/6/2020,Unknown,287,1,
6/7/2020,0-19,5218,85,0
6/7/2020,20-29,13977,251,11
6/7/2020,30-39,15507,479,24
6/7/2020,40-49,14812,736,71
6/7/2020,50-59,16573,1386,264
6/7/2020,60-69,13450,1995,753
6/7/2020,70-79,9091,2247,1625
6/7/2020,80+,14522,3213,4568
6/7/2020,Unknown,286,1,
6/8/2020,0-19,5228,85,0
6/8/2020,20-29,14012,253,13
6/8/2020,30-39,15533,479,24
6/8/2020,40-49,14833,737,70
6/8/2020,50-59,16588,1390,265
6/8/2020,60-69,13486,2005,762
6/8/2020,70-79,9100,2255,1635
6/8/2020,80+,14544,3220,4584
6/8/2020,Unknown,302,1,
6/9/2020,0-19,5251,85,0
6/9/2020,20-29,14065,254,14
6/9/2020,30-39,15567,484,24
6/9/2020,40-49,14866,744,71
6/9/2020,50-59,16613,1401,265
6/9/2020,60-69,13517,2018,768
6/9/2020,70-79,9125,2274,1647
6/9/2020,80+,14594,3246,4619
6/9/2020,Unknown,291,1,
6/10/2020,0-19,5283,87,0
6/10/2020,20-29,14121,256,15
6/10/2020,30-39,15602,488,25
6/10/2020,40-49,14923,749,71
6/10/2020,50-59,16641,1410,267
6/10/2020,60-69,13553,2039,769
6/10/2020,70-79,9143,2286,1658
6/10/2020,80+,14612,3266,4649
6/10/2020,Unknown,278,1,
