Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,53,5
3/16/2020,513,150,56,3
3/17/2020,762,249,64,8
3/18/2020,1021,259,71,7
3/19/2020,1299,278,77,6
3/20/2020,1687,388,87,10
3/21/2020,2008,321,97,10
3/22/2020,2294,286,101,4
3/23/2020,2903,609,113,12
3/24/2020,3622,719,123,10
3/25/2020,4368,746,134,11
3/26/2020,5304,936,138,4
3/27/2020,6247,943,143,5
3/28/2020,6902,655,151,8
3/29/2020,7426,524,156,5
3/30/2020,8664,1238,158,2
3/31/2020,9929,1265,163,5
4/1/2020,11267,1338,170,7
4/2/2020,12546,1279,176,6
4/3/2020,14026,1480,183,7
4/4/2020,15189,1163,189,6
4/5/2020,16165,976,196,7
4/6/2020,18097,1932,202,6
4/7/2020,20121,2024,211,9
4/8/2020,21988,1867,217,6
4/9/2020,23971,1983,226,9
4/10/2020,26026,2055,234,8
4/11/2020,27323,1297,241,7
4/12/2020,28254,931,254,13
4/13/2020,30258,2004,261,7
4/14/2020,33133,2875,267,6
4/15/2020,35734,2601,281,14
4/16/2020,38123,2389,288,7
4/17/2020,41133,3010,307,19
4/18/2020,42615,1482,313,6
4/19/2020,43706,1091,316,3
4/20/2020,46405,2699,328,12
4/21/2020,48604,2199,350,22
4/22/2020,51322,2718,382,32
4/23/2020,53739,2417,409,27
4/24/2020,56021,2282,473,64
4/25/2020,57519,1498,496,23
4/26/2020,58367,848,527,31
4/27/2020,60494,2127,595,68
4/28/2020,62602,2108,658,63
4/29/2020,64788,2186,742,84
4/30/2020,66837,2049,840,98
5/1/2020,68921,2084,935,95
5/2/2020,69958,1037,996,61
5/3/2020,70693,735,1031,35
5/4/2020,72581,1888,1166,135
5/5/2020,74323,1742,1293,127
5/6/2020,76034,1711,1435,142
5/7/2020,77726,1692,1556,121
5/8/2020,79190,1464,1651,95
5/9/2020,79875,685,1685,34
5/10/2020,80261,386,1746,61
5/11/2020,81579,1318,1856,110
5/12/2020,83037,1458,1973,117
5/13/2020,84367,1330,2104,131
5/14/2020,85689,1322,2232,128
5/15/2020,86800,1111,2328,96
5/16/2020,87454,654,2366,38
5/17/2020,87826,372,2412,46
5/18/2020,89152,1326,2512,100
5/19/2020,90246,1094,2634,122
5/20/2020,91277,1031,2738,104
5/21/2020,92270,993,2875,137
5/22/2020,93145,875,2983,108
5/23/2020,93538,393,3020,37
5/24/2020,93842,304,3060,40
5/25/2020,94042,200,3118,58
5/26/2020,94928,886,3218,100
5/27/2020,95641,713,3328,110
5/28/2020,96296,655,3447,119
5/29/2020,96831,535,3539,92
5/30/2020,97106,275,3574,35
5/31/2020,97271,165,3608,34
6/1/2020,97787,516,3673,65
6/2/2020,98238,451,3725,52
6/3/2020,98714,476,3801,76
6/4/2020,99109,395,3855,54
6/5/2020,99453,344,3953,98
6/6/2020,99603,150,3983,30
6/7/2020,99754,151,4003,20
6/8/2020,100119,365,4075,72
6/9/2020,100470,351,4154,79
6/10/2020,100726,256,4250,96
6/11/2020,100959,233,4329,79
6/12/2020,101211,252,4380,51
6/13/2020,101311,100,4399,19
6/14/2020,101390,79,4422,23
6/15/2020,101628,238,4487,65
6/16/2020,101820,192,4542,55
6/17/2020,101956,136,4604,62
6/18/2020,102004,48,4644,40
6/19/2020,102005,1,4645,1
