Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,27,124,0,3
3/31/2020,28,152,0,3
4/1/2020,36,188,0,3
4/2/2020,41,229,2,5
4/3/2020,38,267,1,6
4/4/2020,38,305,0,6
4/5/2020,68,373,0,6
4/6/2020,80,453,1,7
4/7/2020,71,524,1,8
4/8/2020,100,624,3,11
4/9/2020,112,736,1,12
4/10/2020,108,844,4,16
4/11/2020,120,964,4,20
4/12/2020,114,1078,6,26
4/13/2020,163,1241,8,34
4/14/2020,121,1362,10,44
4/15/2020,175,1537,7,51
4/16/2020,174,1711,6,57
4/17/2020,169,1880,7,64
4/18/2020,168,2048,7,71
4/19/2020,176,2224,4,75
4/20/2020,172,2396,6,81
4/21/2020,161,2557,0,81
4/22/2020,152,2709,0,81
4/23/2020,191,2900,4,85
4/24/2020,197,3097,5,90
4/25/2020,149,3246,0,90
4/26/2020,152,3398,2,92
4/27/2020,161,3559,6,98
4/28/2020,143,3702,4,102
4/29/2020,165,3867,3,105
4/30/2020,143,4010,0,105
5/1/2020,177,4187,1,106
5/2/2020,142,4329,2,108
5/3/2020,138,4467,4,112
5/4/2020,133,4600,1,113
5/5/2020,137,4737,3,116
5/6/2020,138,4875,7,123
5/7/2020,131,5006,3,126
5/8/2020,109,5115,5,131
5/9/2020,105,5220,5,136
5/10/2020,124,5344,1,137
5/11/2020,126,5470,0,137
5/12/2020,114,5584,2,139
5/13/2020,112,5696,0,139
5/14/2020,98,5794,3,142
5/15/2020,117,5911,1,143
5/16/2020,85,5996,3,146
5/17/2020,82,6078,0,146
5/18/2020,90,6168,1,147
5/19/2020,73,6241,2,149
5/20/2020,81,6322,1,150
5/21/2020,64,6386,3,153
5/22/2020,81,6467,0,153
5/23/2020,69,6536,0,153
5/24/2020,58,6594,0,153
5/25/2020,63,6657,0,153
5/26/2020,70,6727,0,153
5/27/2020,61,6788,0,153
5/28/2020,51,6839,1,154
5/29/2020,57,6896,1,155
5/30/2020,56,6952,0,155
5/31/2020,55,7007,1,156
6/1/2020,33,7040,0,156
6/2/2020,48,7088,0,156
6/3/2020,43,7131,0,156
6/4/2020,41,7172,0,156
6/5/2020,26,7198,0,156
6/6/2020,42,7240,0,156
6/7/2020,36,7276,0,156
6/8/2020,37,7313,0,156
6/9/2020,32,7345,0,156
6/10/2020,33,7378,0,156
6/11/2020,22,7400,0,156
