Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,1,1,0,0,0
1/25/2020,2,0,0,,1,0,0,0,0
1/26/2020,2,0,0,,1,0,0,0,0
1/27/2020,3,1,0,,1,0,0,1,0
1/28/2020,3,0,0,,1,0,0,0,0
1/29/2020,4,1,1,,1,0,0,1,0
1/30/2020,4,0,0,,1,0,0,0,0
1/31/2020,4,0,0,,1,0,0,0,0
2/1/2020,4,0,0,,1,0,0,0,0
2/2/2020,4,0,0,,1,0,0,0,0
2/3/2020,7,3,0,,1,0,0,3,0
2/4/2020,9,2,0,,1,0,0,2,0
2/5/2020,9,0,0,,1,0,0,0,0
2/6/2020,10,1,1,,1,0,0,1,0
2/7/2020,10,0,0,,1,0,0,0,0
2/8/2020,11,1,0,,1,0,0,1,0
2/9/2020,11,0,0,,1,0,0,0,0
2/10/2020,11,0,0,,1,0,0,0,1
2/11/2020,11,0,0,,1,0,0,0,0
2/12/2020,11,0,0,,1,0,0,1,0
2/13/2020,11,0,0,,1,0,0,0,0
2/14/2020,11,0,0,,1,0,0,0,0
2/15/2020,11,0,0,,1,0,0,0,0
2/16/2020,11,0,0,,1,0,0,0,0
2/17/2020,11,0,0,,1,0,0,0,0
2/18/2020,11,0,0,,1,0,0,0,0
2/19/2020,11,0,0,,1,0,0,0,0
2/20/2020,11,0,0,,1,0,0,0,1
2/21/2020,11,0,0,,1,0,0,0,0
2/22/2020,11,0,0,,1,0,0,0,0
2/23/2020,11,0,0,,1,0,0,0,0
2/24/2020,11,0,0,,1,0,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,612,174,22,,2,0,0,176,6
3/12/2020,1030,418,29,,2,0,0,426,7
3/13/2020,1970,940,61,,2,0,0,973,14
3/14/2020,2870,900,73,,2,0,0,920,15
3/15/2020,3900,1030,68,,2,0,0,1058,26
3/16/2020,6045,2145,150,,2,0,0,2218,18
3/17/2020,8729,2684,249,,2,0,0,2763,28
3/18/2020,11718,2989,259,,2,0,0,3075,156
3/19/2020,14624,2906,278,,2,0,0,3000,142
3/20/2020,18276,3652,388,,2,0,0,3753,123
3/21/2020,20810,2534,321,,2,0,0,2603,168
3/22/2020,22707,1897,286,,2,0,0,1944,158
3/23/2020,26497,3790,609,,2,0,0,3895,202
3/24/2020,30498,4001,719,,2,0,0,4116,207
3/25/2020,34603,4105,746,,2,0,0,4217,269
3/26/2020,39028,4425,936,,2,0,0,4540,299
3/27/2020,43404,4376,943,,2,0,0,4474,342
3/28/2020,46208,2804,655,,2,0,0,2871,331
3/29/2020,48279,2071,523,,2,0,0,2155,318
3/30/2020,53341,5062,1238,,2,0,0,5174,416
3/31/2020,58582,5241,1265,,2,0,0,5461,471
4/1/2020,63515,4933,1338,,2,0,0,5115,462
4/2/2020,68739,5224,1280,,5,3,1,5413,597
4/3/2020,74498,5759,1481,,5,0,0,5961,626
4/4/2020,78490,3992,1163,,9,4,1,4064,689
4/5/2020,81915,3425,976,,9,0,0,3575,538
4/6/2020,88590,6675,1932,,13,4,0,6843,775
4/7/2020,95174,6584,2024,,17,4,0,6689,951
4/8/2020,101987,6813,1867,,19,2,0,7011,961
4/9/2020,108439,6452,1982,,41,22,2,6779,1023
4/10/2020,116051,7612,2055,,41,0,0,7820,1033
4/11/2020,120435,4384,1297,,42,1,0,4515,794
4/12/2020,123526,3091,930,,45,3,2,3155,698
4/13/2020,129870,6344,2004,,53,8,0,6438,1100
4/14/2020,139647,9777,2875,,62,9,2,9886,1465
4/15/2020,149609,9962,2601,,72,10,2,10230,1442
4/16/2020,158546,8937,2389,,93,21,0,9004,1697
4/17/2020,169676,11130,3010,,173,80,5,11470,1743
4/18/2020,175739,6063,1483,,181,8,3,6375,1107
4/19/2020,180347,4608,1091,,191,10,1,4675,921
4/20/2020,191175,10828,2699,,255,64,6,11096,1879
4/21/2020,200671,9496,2199,,331,76,11,9725,2101
4/22/2020,213200,12529,2718,,479,148,17,12790,2607
4/23/2020,224038,10838,2417,,954,475,31,10909,2517
4/24/2020,236402,12364,2282,,1855,901,82,12378,2484
4/25/2020,244680,8278,1498,,2342,487,25,8443,1820
4/26/2020,249579,4899,848,,2797,455,36,4811,1397
4/27/2020,260592,11013,2127,,3941,1144,79,10888,2902
4/28/2020,272900,12308,2108,,5366,1425,83,12303,2974
4/29/2020,285570,12670,2187,,7075,1709,105,12615,2900
4/30/2020,299368,13798,2049,,8453,1378,116,13783,3096
5/1/2020,313540,14172,2086,,10229,1776,129,14073,3227
5/2/2020,320840,7300,1037,,10824,595,57,7359,1841
5/3/2020,325955,5115,735,,11228,404,42,5060,1403
5/4/2020,338122,12167,1888,,13213,1985,161,12002,3444
5/5/2020,350827,12705,1741,,15156,1943,157,12518,3502
5/6/2020,364208,13381,1710,,17088,1932,184,13138,3549
5/7/2020,377751,13543,1693,,19137,2049,173,13502,3589
5/8/2020,391127,13376,1462,,20995,1858,136,13281,3651
5/9/2020,396971,5844,684,,21617,622,37,5729,1956
5/10/2020,400146,3175,386,,21969,352,77,3099,1460
5/11/2020,412046,11900,1317,,23784,1815,162,11682,3965
